Subject,Company Name,Founded Year,Headquarters Address,Phone Number,Website URL,Email Address,CEO/President,Annual Revenue,Employee Count,Services Offered,Union Status,Logo Description,LinkedIn URL,Facebook URL,Twitter URL,Instagram URL,Key Projects,Certifications,Safety Record,Recent News,Organizing Notes,Research Confidence,Data Sources,Error
Rosario contracting Corp,Rosario Contracting Corporation,1985,"63 Community Place Long Branch, NJ 07740","(732) 768-5669, 732-222-1455",https://rosariocontractingcorporation.com/,rosariomazzacorp@aol.com,Joe Rosario (Owner),"Estimated $114,597 (Low confidence, based on Manta.com, which might be outdated or for a smaller entity)","Approximately 3-6 employees (Low confidence, based on Manta.com and Buzzfile.com, which might be outdated or for a smaller entity)","House and Building Demolition, Interior and Exterior Demolition, Mechanical, Plant, Tower, and Stack Dismantling, Tank Removal (Under/Above Ground), Top Soil, Rigging, Debris Removal, Excavating and Equipment Rental, Trucking.",Operates in both union and non-union environments (from CIS Leads). Potential NLRB case for Rosario Mazza Corporation (Case Number: 22-CA-029636) which may be related.,"The website features a logo with the text ""ROSARIO CONTRACTING"" in green and white, with a stylized design.",https://www.linkedin.com/in/joe-rosario-201ab072,Not found,Not found,https://www.instagram.com/rosariocontracting/,"Monmouth Mall, Monmouth Race Track, Monmouth University, City of Long Branch, Brookdale University, Monmouth Regional, Sandy Hook, Chapel Hill Shopping Center, Bulkhead Keyport Boro, City of Trenton, Shore Regional, Rider University, Rutgers University, North Bergen Municipality. Engages in State and Federal projects.","NJDEP certification (US 500186) for environmental services, SBE Certified, MBE Certified","OSHA violations found. A workplace safety or health violation in 2022 with a penalty of $6,250 (Source: Violation Tracker, OSHA.gov). Multiple OSHA inspection records for ""Rosario Contracting Corporation"" in New Jersey are available on OSHA.gov.",Not found,Operates in both union and non-union environments. Potential NLRB case for Rosario Mazza Corporation (Case Number: 22-CA-029636) which may be related. Has OSHA violations.,Medium,"https://rosariocontractingcorporation.com/, https://www.linkedin.com/in/joe-rosario-201ab072, https://www.instagram.com/rosariocontracting/, https://cisleads.com/company/details/12271, https://www.manta.com/c/mk29htq/rosario-contracting-corporation, https://www.buzzfile.com/business/Rosario-Contracting-Corp.-732-222-1455, https://www.osha.gov/, https://violationtracker.goodjobsfirst.org/, https://www.bldup.com/organizations/rosario-contracting-corporation, https://www.nlrb.gov/case/22-CA-029636",
Rosario & Mass,Rosario Contracting Corporation,1985,"63 Community Place, Long Branch, NJ 07740",(732) 768-5669 (also listed as 732-222-1455),https://rosariocontractingcorporation.com/,rosariomazzacorp@aol.com,Jose Rosario (Owner),"Estimated $199,154 (for Rosario Mazza Demolition, likely related to Rosario Contracting Corp.)",Approximately 6 employees (for Rosario Contracting Corp.),"Demolition and excavation services, including house and building demolition, interior and exterior demolition, mechanical/plant/tower/stack dismantling, tank removal (under/above ground), topsoil services, rigging, debris removal, excavating and equipment rental, and trucking.",Can perform both union and non-union work. (Source: cisleads.com),"The logo features ""ROSARIO"" in green text above ""CONTRACTING"" in grey text.",https://www.linkedin.com/company/rosario-contracting-corporation (requires login to view profile),"No direct Facebook page found for Rosario Contracting Corporation. Several 'Rosario Construction' or 'Rosario General Contracting Corp' pages exist, but their direct affiliation is unclear.",Not found.,https://www.instagram.com/rosariocontracting/,"Monmouth Mall, Monmouth Race Track, Monmouth University, City of Long Branch, Brookdale University, Monmouth Regional, Sandy Hook, Chapel Hill Shopping Center, Bulkhead Keyport Boro, City of Trenton, Shore Regional, Rider University, Rutgers University, North Bergen Municipality.",NJDEP certification (US 500186) for Rosario Contracting Environmental Services (likely related to Rosario Contracting Corporation).,"Rosario Contracting Corporation has OSHA inspection records, including one in NJ (09/01/2022, status: Complete) and one in MI (11/15/2023, status: Complete). A related entity, Rosario Contracting LLC, had a workplace safety or health violation in 2024 with a $10,371 penalty. (Source: osha.gov, violationtracker.goodjobsfirst.org)","Rosario Contracting Corporation had an OSHA inspection in NJ (09/01/2022) and MI (11/15/2023). Rosario Mazza Demolition was mentioned in a legal case (Rockland County, Office Of Consumer Protection- Dir v. Rosario, July 11, 2025) regarding blocking entrances with Atlantic Paving. Mazza & Sons (potentially related) was sentenced for illegal waste dumping, paying a $100,000 fine and $494,000 in restitution.","The company performs both union and non-union work, indicating a potential for organizing efforts. The NLRB case against Rosario Mazza Corporation for coercive statements and actions in 2010, brought by the New Jersey Building Laborers District Council, is a significant data point for labor relations. The OSHA violations and the legal case regarding blocking entrances suggest potential areas for scrutiny and engagement. The company's family-owned nature and long history in the region could be factors in organizing strategies.","Medium (due to some information being inferred or from related entities, and the lack of certain financial details).","rosariocontractingcorporation.com, linkedin.com, nlrb.gov, osha.gov, cisleads.com, manta.com, buzzfile.com, fairtrialnj.org, waste360.com, bldup.com, thebluebook.com, yelp.com, thomasnet.com, dnb.com, manta.com, buildzoom.com, safer.fmcsa.dot.gov, instagram.com.",
William J Guarini Inc,William J. Guarini Inc.,1921,"152 Stevens Ave, Jersey City, NJ 07305-3008",(201) 754-1095,https://www.guariniplumbing.com/,info@guariniplumbing.com,"William Oriani (President, RocketReach, Datanyze); William Melms (President, D&B, Manta, Bizratings; Owner/Principal, The Blue Book). Discrepancy noted, suggesting a possible change in leadership or different reporting structures across sources. Mike Oriani is also listed as 'Other' on The Blue Book and Manager on Datanyze.","Approximately $13.7 million (RocketReach 2025), with significant discrepancies across sources ($10M - $50M from Salary.com, $1.5 million from Manta). Research confidence for this figure is Low.","Approximately 10-20 (based on RocketReach, Zoominfo, Manta, and Salary.com data, with discrepancies noted). Research confidence for this figure is Medium.","Plumbing, heating, HVAC, fire protection, excavation & water works, sewer & drain cleaning, high pressure jetting, medical gas delivery systems.","Can Do Union Work, Can Do Non-Union Work (CISleads.com); Listed as NonUnion in OSHA records.","The logo features the company name ""William J. Guarini"" with ""GUARINI"" in large, bold green letters. Below ""GUARINI"" are the words ""PLUMBING HEATING"" in smaller green text, separated by an ampersand. The overall design is clean and professional.",https://www.linkedin.com/company/william-j-guarini-inc,https://www.facebook.com/p/William-J-Guarini-100063765513686/,"Not an official company page, personal accounts found.",Not found.,"Serves Residential, Commercial, Industrial, and Municipal customers. Approved government contractor. Has contracts with the Township of Montclair for plumbing services and appears to work with the Jersey City Municipal Utilities Authority. Involved in ""large-scale infrastructure developments"" and ""community development projects.""",Licensed and Insured,"OSHA Inspection 1408464.015 (Date Opened: 06/10/2019, Case Closed: 09/05/2019) resulted in 1 serious violation with a current penalty of $2,984. The company is listed as NonUnion in this record. Other OSHA inspections also exist for William J. Guarini, Inc. (e.g., 1000128.015, 1823462.015, 312272115, 1742449.015, 1806908.015). No specific worker compensation claims were found, but a JCMUA document implies they carry such insurance. A legal case ""Rpm Contracting, LL .C. Vs William J. Guarini"" was found, but details are not readily available.","May 9, 2025: Awarded contract for Daniel Morris Park Water Fountain in North Arlington. May 28, 2025: Updated website content regarding water heater services. April 28, 2025: Updated website content regarding fixture services. February 21, 2025: Updated website content regarding community development projects and charity drives. May 2025: Mentioned in relation to the Honorable Frank J. Guarini Justice Complex in Jersey City, though their specific role in the construction of the entire complex is not explicitly stated. They are listed as an employer for a political contribution in April 2025.","The company is listed as 'NonUnion' in OSHA records and CISleads indicates they 'Can Do Non-Union Work', which is valuable for IUOE Local 825 organizing efforts. The presence of multiple OSHA violations suggests potential areas for organizing focus related to worker safety.",Medium,"https://www.guariniplumbing.com/, https://www.zoominfo.com/c/william-j-guarini-inc/355948546, https://rocketreach.co/william-j-guarini-management_b400954bfc078d16, https://www.dnb.com/business-directory/company-profiles.william_j_guarini_inc.e03c7d536c6fc460ea24f334f00a53e5.html, https://www.salary.com/research/company/william-j-guarini-inc/plumber-salary, https://www.manta.com/c/mm27k7g/william-j-guarini-inc, https://cisleads.com/company/details/5064, https://www.osha.gov/ords/imis/establishment.inspection_detail?id=1408464.015, https://www.facebook.com/p/William-J-Guarini-100063765513686/, https://www.linkedin.com/company/william-j-guarini-inc, https://www.northarlington.org/News/View/5245/notice-of-special-council-meeting, https://jcmua.com/wp-content/uploads/2024/12/JCMUA-DECEMBER-2024-NOTICE-OF-RESCHEDULED-MEETING.pdf, https://trellis.law/doc/173924040/stipulation-to-extend-time-for-answer-submitted-by-kull-gary-scott-kennedys-cmk-llp-on-behalf-selective-fire-casualty-insu-against-rpm-contracting-l-l-c-ocean-mlk-urban-renewal-associ-william-j-guarini-inc",
Old Bridge Recycling,Old Bridge Township Recycling Program,N/A (Municipal Service),"1 Old Bridge Plaza, Old Bridge, NJ 08857",(732) 721-5600 Ext. 6107 (Recycling Line),https://www.oldbridge.com/recycling,recycling@oldbridge.com,"N/A (Municipal Service, overseen by Township administration)",N/A (Municipal Service),N/A (Part of Township Public Works Department),"Curbside recycling collection, recycling drop-off center services, special recycling events (e.g., paper shredding).","N/A (Municipal employees typically covered by public sector unions, but specific to recycling department not found)","N/A (No distinct company logo, uses Old Bridge Township branding)",N/A (No dedicated LinkedIn for recycling program),https://www.facebook.com/OBTOWN/,N/A (No dedicated Twitter for recycling program),N/A (No dedicated Instagram for recycling program),"Implementation of Automatic Side Load (ASL) recycling service, various community recycling initiatives.","N/A (Municipal service, operates under state and county environmental regulations)",N/A (No specific safety record found for the recycling program; would fall under Old Bridge Township's overall safety records),"2025 recycling schedule posted, switch to Automatic Side Load (ASL) service, return of cardboard acceptance at recycling center.","This is a municipal service, not a private company. Organizing efforts would need to target public sector employees within the Old Bridge Township Public Works Department, potentially through existing public employee unions or by initiating a campaign for municipal workers. Information on specific employees, management, and labor relations would need to be gathered from the Township's human resources or public works departments.",High,"https://www.oldbridge.com/recycling, https://www.oldbridge.com/o/old-bridge-township/page/asl-service, https://www.oldbridge.com/article/1918873, https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/1690/Old_Bridge_Township/4111689/ACCEPTED_ITEMS_AT_RECYCLING_CENTER_2024_pdf.pdf, https://www.facebook.com/OBTOWN/",
Soil Masters,Soil Masters LLC,2000,"24 Merchants Way, Suite 109, Colts Neck, NJ 07722",732-721-4600,https://espositoconstruction.net/,"Not explicitly found for Soil Masters LLC. For Esposito Construction LLC, matthew.s@espocon.net was found in a BPU document, but a general contact email is not clear.","Matthew Esposito (President and CEO of Esposito Construction LLC, and registered agent for Soil Masters LLC)","$3 million - $500+ million (Esposito Construction LLC, wide range from various sources, difficult to pinpoint for Soil Masters LLC specifically)","70 - 400+ (Esposito Construction LLC, wide range from various sources, difficult to pinpoint for Soil Masters LLC specifically)","Likely related to site development, paving/milling, concrete/masonry, crushing/screening, trucking, environmental, and snow services, as offered by Esposito Construction LLC.","Non-Union (Esposito Construction LLC, confirmed by OSHA records)","The logo appears to be a stylized 'E' for Esposito, possibly with a diamond or shield shape around it, and the words 'Esposito Construction Site Development'. (Based on visual observation from the website and social media profiles of Esposito Construction LLC)",https://www.linkedin.com/company/esposito-construction-llc,https://www.facebook.com/p/Esposito-Construction-LLC-61556555159513/,https://x.com/espositocollc,https://www.instagram.com/espositoconstructionllc/,"Not specifically found for Soil Masters LLC. Esposito Construction LLC works on multi-family, hospitality, healthcare, affordable housing, HUD, industrial, retail, auto dealerships, and large tract residential projects.",Not specifically found.,"Esposito Construction LLC has OSHA violations with penalties in 2017. (Inspection: 1631539.015, 1614012.015, Violation Detail: id=1241549.015)",Open NLRB cases filed by IUOE Local 825 against Esposito Construction LLC in 2025 (Case Numbers: 22-CA-363246 and 22-CA-361818).,"Soil Masters LLC appears to be closely tied to Esposito Construction LLC, sharing a registered agent (Matthew Esposito) and address. Esposito Construction LLC is a non-union company with recent open NLRB cases filed by IUOE Local 825, indicating ongoing labor disputes. Their safety record includes OSHA violations. This suggests Soil Masters LLC, if operating as a related entity, would also be a non-union target with a history of labor issues and safety concerns, making it a relevant target for organizing efforts. The wide range in reported employee count and revenue for Esposito Construction LLC suggests potential for further investigation into their true scale and financial health.",Medium,"Bizapedia, New Jersey Business Name Search, Esposito Construction LLC official website, LinkedIn, Facebook, X (Twitter), Instagram, OSHA database, NLRB database, various business information aggregators (Zoominfo, RocketReach, D&B, Incfact, Datanyze).",
Krutis Excavating,"Tom Krutis Excavating, Inc.",1983,"1 Carnegie St. Linden, NJ 07036","908-925-6967 (Office), 908-925-8024 (Fax)",https://www.krutisexcavating.com/,"Krutisexcavating@gmail.com, Mark@krutisexcavating.com, Danielle@krutisexcavating.com, Tom@krutisexcavating.com, Leslie@krutisexcavating.com","Mark Krutis (Owner / Estimator), Tom Krutis (Owner / Project Manager)","$2,929,364 (estimated)","4 (ZoomInfo, Datanyze); <25 (ZoomInfo); 20 (2013 article)","Excavation & Grading, Cut / Fills & Compaction, Site Import & Export, Footing & Foundation, Storm sewers, storm filters, retention systems, Sanitary Sewer Mains & Laterals, Earthwork, Site Clearing. Provides services for commercial, industrial, and residential sites.",Non-Union / Open Shop Labor,"The company logo features the word ""Krutis"" in a stylized, bold, blue font with ""Excavating"" in a smaller, white, sans-serif font below it, all enclosed within a dark blue rectangular border.","https://www.linkedin.com/in/mark-krutis-40400a2a (Mark Krutis), https://www.linkedin.com/in/thomas-krutis-81a47319 (Thomas Krutis), https://www.linkedin.com/in/danielle-auck-b16bb840 (Danielle Auck)",https://www.facebook.com/DitchDigger1983/,"Not found (a user named Kruti Bhavsar was found, but not related to the company)",Not found,"Not explicitly detailed, but services include site work for commercial, industrial, and residential sites, storm sewers, storm filters, retention systems, sanitary sewer mains & laterals, footing & foundation.",,"OSHA inspection record for Tom Krutis Excavating Inc. on 08/09/2017, case number 1253324.015, with no violations found. No other specific OSHA violations or worker compensation claims were found in the search results.","A legal dispute was filed on March 12, 2024, involving Tom Krutis Excavating, Inc. and Manzo Doren Organization (nature of dispute not specified in snippet). A 2013 article highlighted the company's 30th anniversary and success as a small family business.","Krutis Excavating is a family-owned business operating since 1983, specializing in excavation and site work in New Jersey. They are explicitly listed as 'Non-Union' and 'open shop labor' on multiple sources, which is a key piece of information for organizing efforts. The company appears to be relatively small with an estimated 4-20 employees and an estimated annual revenue of around $2.9 million. Key personnel include Mark Krutis (Owner/Estimator) and Tom Krutis (Owner/Project Manager). There is a record of an OSHA inspection in 2017 with no violations found. The company has a strong online presence through its website and Facebook, indicating potential avenues for digital organizing. The mention of a 2024 legal dispute (Complaint,Petition) could be worth further investigation for any labor-related context, though the snippet does not specify. The company's long history and family ownership suggest a stable, potentially close-knit work environment, which can influence organizing strategies. The company's services cover a broad range of excavation and site work, making them a relevant target within the construction industry.",High,"https://www.krutisexcavating.com/, https://www.zoominfo.com/c/tom-krutis-excavating-inc/368635673, https://www.datanyze.com/companies/tom-krutis-excavating/368635673, https://www.dnb.com/business-directory/company-profiles.tom_krutis_excavating_inc.eda1127463ee7f2d162d9f4d895eebf6.html, https://www.constructionequipmentguide.com/small-family-business-thrives-in-the-land-of-the-giants/21883, https://www.manta.com/c/mmjlm96/tom-krutis-excavating, https://www.linkedin.com/in/mark-krutis-40400a2a, https://www.linkedin.com/in/thomas-krutis-81a47319, https://www.linkedin.com/in/danielle-auck-b16bb840, https://www.facebook.com/DitchDigger1983/, https://www.thebluebook.com/iProView/336018/tom-krutis-excavating/subcontractors/, https://www.osha.gov/ords/imis/establishment.search?establishment=excavating&state=all&officetype=all&office=all&sitezip=100000&startmonth=02&startday=12&startyear=2013&endmonth=11&endday=12&endyear=2023",
Boyce Excavating,"Boyce Excavating Co., Inc.",1939,"2817 US Route 6, Slate Hill NY, 10973",(845) 343-5400,https://boyceexcavating.net/,office@boyceexcavating.net,Erin Boyce (President),Undisclosed,"85 (as per Orange County Partnership article, ZoomInfo states 70)","Excavating, site work, demolition, water and sewer lines, trenching, asphalt paving, erosion control.","Non-union (based on OSHA record for Reginald Boyce, further verification needed for Boyce Excavating Co., Inc.)","A circular logo with the words ""BOYCE EXCAVATING"" around the perimeter, an excavator on a globe in the center, and the motto ""WE MOVE THE EARTH"" and ""Est. 1939"" included.","https://www.linkedin.com/in/erin-boyce-498737252 (Erin Boyce's profile, no main company page found)",https://www.facebook.com/boyceexcavatingcoinc/,Not found,https://www.instagram.com/boyceexcavating1939/?hl=en,"Van Wyck Mews (Completed - Dec 2007), Middlecrest Crossing Phase II (Completed - Oct 2007)",New York State certified WBE (Women Business Enterprise),"One open OSHA inspection (1832246.015) for Fatality/Catastrophe, opened 06/18/2025. Union Status listed as NonUnion.","A worker was seriously injured in a fiery explosion at Boyce Excavating in Wawayanda on June 17, 2025, and later died on July 28, 2025. The incident involved welding on the flatbed of a truck.","The company is family-owned and operated and is a certified Women Business Enterprise (WBE). There is an open OSHA inspection for a Fatality/Catastrophe incident that occurred on June 17, 2025, resulting in a worker's death on July 28, 2025. The company is listed as non-union in OSHA records. This information is highly relevant for labor organizing efforts.",Medium,"https://boyceexcavating.net/, https://ocpartnership.org/news/details.aspx?id=88d34b9e-6bcf-49c7-8a06-385d954b1c6a, https://www.thebluebook.com/iProView/334847/boyce-excavating-co-inc/subcontractors/construction-projects/, https://www.osha.gov/ords/imis/establishment.inspection_detail?id=1832246.015, https://www.facebook.com/boyceexcavatingcoinc/, https://www.instagram.com/boyceexcavating1939/?hl=en, https://www.linkedin.com/in/erin-boyce-498737252, https://westchester.news12.com/pine-bush-man-injured-in-wawayanda-explosion-dies-nearly-a-month-after-incident",
Think Pavers,Think Pavers Hardscaping LLC,Circa 1997,"125 Kings Highway, Mt. Royal, NJ 08061",856-832-4680,https://www.thinkpavers.com/,info@thinkpavers.com,Nicholas Furfari (Owner),"$4.3M (Datanyze), $5.0M - $25M (SignalHire)","18 (Datanyze, Zoominfo), 2-10 (LinkedIn), 25-100 (SignalHire)","Hardscape design and installation, including patios, driveways, garden walls, sidewalks, paths, pool decks, outdoor kitchens, outdoor fireplaces, concrete, stamped concrete, textured concrete, concrete staining, decorative work, protective coatings & sealants, remodeling & restoration, resurfacing and sealing.",Non-union (implied by labor dispute with unions),"The logo features the words ""Think Pavers.com"" in blue, with ""Outdoor Living Experts"" in smaller blue text below it. To the right of the text is a grey statue of a person in a thinking pose, similar to Rodin's 'The Thinker', sitting on a stone-like base. A red curved line underlines ""Think Pavers.com"".",https://www.linkedin.com/company/think-pavers-hardscaping,"Not found (implied from website, but no direct URL)",Not found,Not found,"Cooper River Park Improvement Project (Camden County), Margerum Road Improvements Project (Chesterfield, NJ), Contracts with Florence, Northfield, Willingboro, Maple Shade, Penns Grove, Monroe Townships in New Jersey. Federal contractor (NAICS 237310, CAGE 6T5K7, UEI ZCGRJZGXCP73).","NJ Home Improvement Contractor License, Certified quality installed interlocking paver company, NJ REG # 13VH01769900",No direct OSHA violations found through general search. Further investigation may be required.,"Awarded Phase 1 of the Cooper River Park Improvement Project in Camden County. Various contracts with New Jersey municipalities (Florence, Northfield, Willingboro, Maple Shade, Penns Grove, Monroe Townships). Voted ""Best of Family 2015 for Hardscape Design"" (from their website). Mentioned in 2023 HNA Awards (Hardscape North America) as a participant or related entity.","Think Pavers Hardscaping LLC is a non-union hardscaping contractor operating in New Jersey and surrounding states. They have a history of labor disputes (2012 case with Laborers' Local Union Nos. 472 & 172). They actively secure government contracts with various municipalities and counties in NJ, indicating potential leverage points. The company is small to medium-sized, with varying employee counts reported, suggesting a flexible workforce. No direct OSHA violations were found, but this should be further investigated. Their focus on municipal projects and their federal contractor status could be strategic points for organizing efforts.",Medium,"https://www.thinkpavers.com/, https://www.thinkpavers.com/contact-us, https://www.thinkpavers.com/about-us, https://www.bbb.org/us/nj/mount-royal/profile/general-contractor/think-pavers-hardscaping-llc-0221-90083772, https://www.linkedin.com/company/think-pavers-hardscaping, https://www.zoominfo.com/p/Nicholas-Furfari/1239649857, https://www.dnb.com/business-directory/company-profiles.think_pavers_hardscaping_llc.f9295e63cefb683e2c20ba997cc5f44a.html, https://www.datanyze.com/companies/think-pavers-hardscaping/345929022, https://www.signalhire.com/companies/think-pavers-hardscaping, https://dockets.justia.com/docket/new-jersey/njdce/1:2012cv02010/272626, https://www.florence-nj.gov/wp-content/uploads/filr/16380/Rsolution%202024-71.pdf, https://pennsgrove-nj.org/wp-content/uploads/2024/06/2024-4-67-RESOLUTION-AUTHORIZING-PAYMENT-CERTIFICATE-NO.-3-FINAL-TO-THINK-PAVERS-HARDSCAPING-LLC-FOR-FY2021-NJDOT-TRUST-FUND-RESURFACING-OF-PENN-STREET-PHASE-IV-min.pdf, https://www.cityofnorthfield.org/pdf_files/07-16-2024%20Agenda,%20Resolutions,%20Eng%20Report.pdf, https://mapleshade.com/wp-content/uploads/2024/07/RESOLUTIONS-7-18-2024.pdf, https://monroetownshipnj.org/wp-content/uploads/2025/02/R-95-2025.pdf, https://app.g2xchange.com/companies/ZCGRJZGXCP73, https://www.hardscapena.com/news/2023-hna-awards-winners-and-honorable-mention-recipients-announced",
A & P Sons Services LLC,AP and Sons Construction LLC (possibly A.P. Design & Construction LLC),Not available,"1332 Richmond Grand Avenue, Egg Harbor Township, NJ, 08234 (Local Address for AP and Sons Construction LLC) / Bergen County, NJ (Service Area for A.P. Design & Construction LLC)",Not available for AP and Sons Construction LLC; 201 898 9136 for A.P. Design & Construction LLC,Not available for AP and Sons Construction LLC; https://apdesignconstructionllc.com/ for A.P. Design & Construction LLC,Not available for AP and Sons Construction LLC; apdesignconstructionllc@gmail.com for A.P. Design & Construction LLC,Not available,Not available,Not available,"Custom Home Build, Restaurant Buildout, Swimming Pool Project, Kitchen Remodel, Bathroom Remodel (for AP and Sons Construction LLC); Home remodeling, general construction services (guest suites, plumbing, electrical, other home repairs) (for A.P. Design & Construction LLC)",Not available,"Multiple logos found for similar names, but no definitive logo for the exact name provided. Logo for A.P. & Sons Construction, Inc. (SD-based) shows 'AP & SONS CONSTRUCTION' with a green excavator icon. Logo for A.P. Design & Construction LLC (NJ-based) shows 'AP' with building icons.","Pete Eccles is associated with A P & Sons Construction Inc (Summit, SD). Other LinkedIn profiles for similar names like A.P. Construction, Inc. (Philadelphia/NJ) and AP Construction Contractor, LLC exist.","AP & Sons Construction, Inc. (Summit, SD) and A.P. Design & Construction LLC (Teaneck, NJ) have Facebook pages.",Not available,Not available,Not available,License # 13VH01919800 (Inactive as of Dec 2010) for AP and Sons Construction LLC,"No specific OSHA violations found for ""A & P Sons Services LLC"" or ""AP and Sons Construction LLC"" in New Jersey. General OSHA search results show violations for other ""AP Construction"" entities.","No recent news specifically for ""A & P Sons Services LLC"" or ""AP and Sons Construction LLC"" found.","The exact company name ""A & P Sons Services LLC"" did not yield direct results in the New Jersey Business Entity Name Search. The closest matches found are ""AP and Sons Construction LLC"" (residential remodeling contractor in Egg Harbor Township, NJ, license inactive since 2010) and ""A.P. Design & Construction LLC"" (home remodeling contractor in Bergen County, NJ). The services offered by both identified companies are primarily residential remodeling, which may be less relevant for IUOE Local 825's heavy construction focus. Further investigation is needed to confirm the correct target company and its involvement in heavy construction or related fields relevant to IUOE Local 825.",Medium,"BuildZoom (https://www.buildzoom.com/contractor/ap-and-sons-construction-llc), New Jersey Business Entity Name Search (https://www.njportal.com/dor/businessnamesearch/), A.P. Design & Construction LLC website (https://apdesignconstructionllc.com/), OSHA website (https://www.osha.gov/), NLRB website (https://www.nlrb.gov/), LinkedIn, Facebook, Google Search.",
Stilo Paving & Excavating,"Stilo Excavation, Inc. (also known as Stilo Paving & Excavating)","Established by Dominic Stilo in 1924. Stilo Excavation, Inc. founded in 1989 by Robert Stilo Jr. and Patricia Stilo.","2907 South Clinton Ave., South Plainfield, NJ 07080",908-754-0776,https://www.stilopavingandexcavating.com/,pstilo@stilopaving.com (for employment inquiries),"Robert Stilo (President), Patricia Stilo (Secretary/Vice President)",Estimated $6 Million,"Varied sources report different numbers: 11-50 (LinkedIn), 17 (Zoominfo), 40 (Construction Equipment Guide, 2020), <25 (Neverbounce).","Asphalt Paving & Milling, Trucking, Sitework & Utilities (sanitary sewer, storm sewer, water main, retention systems, wastewater treatment systems, earthwork), Demolition (residential and commercial), Surveying & Engineering, Disposal (associated with Stilo Disposal, LLC).",Non-Union,"The logo on their website features the word ""STILO"" in a stylized, bold, orange and yellow gradient font with a black outline, above ""PAVING & EXCAVATING"" in a smaller, white, sans-serif font on a black background. The entire text is enclosed within a red, wing-like or chevron-shaped graphic.",https://www.linkedin.com/company/stilo-excavation-inc,https://www.facebook.com/pages/STILO-Paving-excavating/102477531246451,"No dedicated company Twitter found, but mentioned in a news article related to South Plainfield TAPinto.",https://www.instagram.com/stiloexcavation/,"Numerous municipal contracts in New Jersey, including: 2025 Capital Roadway Paving Project in Hillsborough Township ($1.79M), Amsterdam Drive Phase 3 Resurfacing Project in Hillsborough Township ($466K), Dumpster services for Warren Township (contract extended through April 30, 2026), Dellwood Road Improvement Project in Bridgewater Township, Road improvement projects in Bridgewater Township (Foothill Road Phase 3), Sewer main repair work on Grove Street in Green Brook Township, 2017 Road Improvements in South Plainfield ($505,074.31), Road improvement projects in Union Township (Change Order No.1 for $13.75).",Certified by the State of New Jersey as a Women-Owned Business Enterprise (WBE). Certificate #75979-15.,The company website states that employees practice all OSHA requirements regarding trenching and excavation safety (1926.650). No specific OSHA violations or worker compensation claims were found in the search results.,Primarily related to winning municipal paving and excavation contracts in various New Jersey townships.,"Family-owned business. WBE certified. Emphasizes OSHA compliance on their website. Associated with Stilo Disposal, LLC. Non-union status.",High,"https://www.stilopavingandexcavating.com/, https://www.linkedin.com/company/stilo-excavation-inc, https://www.zoominfo.com/pic/stilo-excavation-inc/557928727, https://www.constructionequipmentguide.com/jerseys-stilo-paving-and-excavating-makes-material-screening-crushing-big-focus/49156, https://www.neverbounce.com/company/stilo-excavation/557928727, https://www.thebluebook.com/iProView/335737/stilo-paving-inc/subcontractors/, https://patch.com/new-jersey/hillsborough/1-79m-contract-awarded-improve-hillsborough-roads, https://www.warrennj.org/DocumentCenter/View/10389/2025-080-Contract-Extension-Stilo-Excavation, https://www.facebook.com/mayorcilento/posts/please-be-advised-that-stilo-paving-excavating-will-be-conducting-sewer-main-rep/1422134969430069/, https://www.facebook.com/HillsboroughTwp/posts/the-2025-road-paving-program-is-starting-the-engineering-department-received-a-s/1193315059492057/, https://www.instagram.com/stiloexcavation/, https://www.bbb.org/us/nj/south-plainfield/profile/paving-contractors/stilo-paving-excavating-0221-90165745, https://www.yelp.com/biz/stilo-paving-and-excavating-south-plainfield",
